,Slope,Offset,Count,SigA,SigB,Cov,Corr,vRatio,belowAbove,SpeedUpAt10,pctSpeedUp,LowerLimitPrevious,UpperLimitPrevious,LowerLimitNext,UpperLimitNext,LowerLimit,UpperLimit,IECValid
0.0,0.969945896312,0.223266746487,12.0,0.763542462035,0.0418428492887,-0.0317706612472,0.904127878755,1.01322968795,"(12, 0)",0.99227257096,-0.772742903955,-3.31020751035,0.689792489655,-4.78504912431,-0.785049124306,-3.31020751035,-0.785049124306,False
10.0,0.925565997437,0.465835113199,4.0,0.522588295544,0.0502947448034,-0.0260544819548,0.988394115225,1.01770595176,"(4, 0)",0.972149508757,-2.78504912431,-2.77274290395,1.22725709605,-0.69892521305,3.30107478695,-0.69892521305,1.22725709605,False
20.0,1.03693978304,-0.239290351732,8.0,1.02003121541,0.0610772059866,-0.0619225634263,0.925874330358,0.995756772319,"(8, 0)",1.01301074787,1.30107478695,-4.78504912431,-0.785049124306,-5.79520648185,-1.79520648185,-4.78504912431,-1.79520648185,False
30.0,0.929373864817,0.326740703645,10.0,0.436968915729,0.0245234529773,-0.0106024958712,0.973260925236,0.989080842837,"(10, 0)",0.962047935182,-3.79520648185,-0.69892521305,3.30107478695,-0.354231144517,3.64576885548,-0.354231144517,3.30107478695,False
40.0,1.00102834798,0.154293405795,40.0,0.165620439889,0.00426489212195,-0.000694319481017,0.986483580006,1.02745838929,"(37, 3)",1.01645768855,1.64576885548,-5.79520648185,-1.79520648185,-1.12687383194,2.87312616806,-1.12687383194,-1.79520648185,False
50.0,1.00196350775,0.0676775392911,74.0,0.109242716337,0.00211588019769,-0.000228439629737,0.988327697719,1.01367326524,"(74, 0)",1.00873126168,0.873126168065,-0.354231144517,3.64576885548,-2.35151585063,1.64848414937,-0.354231144517,1.64848414937,True
60.0,0.983289927907,0.131949135863,150.0,0.0473135819434,0.000526909567423,-2.36078601238e-05,0.996827792225,1.0040843652,"(114, 36)",0.996484841494,-0.351515850634,-1.12687383194,2.87312616806,-2.846096459,1.153903541,-1.12687383194,1.153903541,True
70.0,0.97912641401,0.124126214004,726.0,0.025107035885,8.89411582018e-05,-2.14710367474e-06,0.997838459769,0.992827782035,"(164, 562)",0.99153903541,-0.846096458998,-2.35151585063,1.64848414937,-2.8561112572,1.1438887428,-2.35151585063,1.1438887428,True
80.0,0.982286415842,0.0915247158625,739.0,0.0220871717699,8.06378490809e-05,-1.69330635561e-06,0.998169836016,0.993204164892,"(278, 461)",0.991438887428,-0.856111257203,-2.846096459,1.153903541,-4.14275998715,-0.142759987151,-2.846096459,-0.142759987151,True
90.0,0.976735365735,0.0183703439361,369.0,0.0342724048991,0.000212268270369,-6.94053802697e-06,0.996817257221,0.980462191178,"(212, 157)",0.978572400128,-2.14275998715,-2.8561112572,1.1438887428,-5.04036076712,-1.04036076712,-2.8561112572,-1.04036076712,True
100.0,0.969990866122,-0.00394473793029,317.0,0.0388677018428,0.000259584832719,-9.70342372822e-06,0.996443347892,0.970378089219,"(172, 145)",0.969596392329,-3.04036076712,-4.14275998715,-0.142759987151,-6.52099793146,-2.52099793146,-4.14275998715,-2.52099793146,True
110.0,0.947164038656,0.0762598202911,277.0,0.0482373422729,0.000370968308797,-1.75782876797e-05,0.99420811659,0.957756537845,"(171, 106)",0.954790020685,-4.52099793146,-5.04036076712,-1.04036076712,-6.64769023292,-2.64769023292,-5.04036076712,-2.64769023292,True
120.0,0.929213829985,0.243092676856,231.0,0.0771703572058,0.000614708831458,-4.64369071268e-05,0.988622066709,0.960936995182,"(103, 128)",0.953523097671,-4.64769023292,-6.52099793146,-2.52099793146,-6.89007905361,-2.89007905361,-6.52099793146,-2.89007905361,True
130.0,0.938345171407,0.127540380564,238.0,0.106775541879,0.00077072622845,-8.06843122127e-05,0.981575290604,0.953415101314,"(70, 168)",0.951099209464,-4.89007905361,-6.64769023292,-2.64769023292,-6.74691950003,-2.74691950003,-6.64769023292,-2.74691950003,True
140.0,0.943509583791,0.0902122120832,169.0,0.137678684689,0.00118667780927,-0.000159551704937,0.978398015752,0.954884572402,"(56, 113)",0.952530805,-4.74691950003,-6.89007905361,-2.89007905361,-6.09999554953,-2.09999554953,-6.09999554953,-2.89007905361,True
150.0,0.961334340914,-0.0233429640965,186.0,0.108013260597,0.000852691452554,-8.91370845413e-05,0.986803102118,0.958595679255,"(60, 126)",0.959000044505,-4.09999554953,-6.74691950003,-2.74691950003,-2.97548824946,1.02451175054,-2.97548824946,-2.74691950003,False
160.0,0.977828287912,0.12416829593,286.0,0.0643164580413,0.00035981776774,-2.23443988747e-05,0.994545813799,0.990937355073,"(71, 215)",0.990245117505,-0.975488249465,-6.09999554953,-2.09999554953,-2.73181150342,1.26818849658,-2.73181150342,-2.09999554953,False
170.0,0.978389916954,0.142919680116,290.0,0.0557400148006,0.000326108165548,-1.71702450098e-05,0.995392658619,0.995458082099,"(137, 153)",0.992681884966,-0.731811503422,-2.97548824946,1.02451175054,-1.97138035994,2.02861964006,-1.97138035994,1.02451175054,True
180.0,1.00844296607,-0.0815676967225,230.0,0.0604587095138,0.000416099993703,-2.36369835134e-05,0.995565657726,0.998496799139,"(110, 120)",1.0002861964,0.0286196400583,-2.73181150342,1.26818849658,-0.57768387263,3.42231612737,-0.57768387263,1.26818849658,True
190.0,1.01877761324,-0.0455445196347,452.0,0.0639371572154,0.000308433330324,-1.8776638634e-05,0.99080686468,1.01286710818,"(181, 271)",1.01422316127,1.42231612737,-1.97138035994,2.02861964006,-1.10974429903,2.89025570097,-1.10974429903,2.02861964006,True
200.0,1.00140756792,0.0749498909084,691.0,0.0500895909602,0.000205331078413,-9.7647882484e-06,0.990139606865,1.01042222688,"(328, 363)",1.00890255701,0.890255700975,-0.57768387263,3.42231612737,-0.099440413438,3.90055958656,-0.099440413438,3.42231612737,True
210.0,1.01052227978,0.0848331608568,534.0,0.0448684484026,0.000198483215306,-8.43134403223e-06,0.994564661402,1.02084464969,"(201, 333)",1.01900559587,1.90055958656,-1.10974429903,2.89025570097,2.22011934906,6.22011934906,2.22011934906,2.89025570097,False
220.0,1.04851534342,-0.0631414992697,305.0,0.0614162481936,0.000407918183885,-2.37568122955e-05,0.99307879099,1.03975339722,"(156, 149)",1.04220119349,4.22011934906,-0.099440413438,3.90055958656,1.10823468184,5.10823468184,1.10823468184,3.90055958656,False
230.0,1.02408319554,0.0699915127504,192.0,0.0693600271329,0.000567710150964,-3.74940500036e-05,0.994441281214,1.03402807067,"(92, 100)",1.03108234682,3.10823468184,2.22011934906,6.22011934906,0.741788758737,4.74178875874,2.22011934906,4.74178875874,True
240.0,1.009614213,0.178036745921,116.0,0.07584941018,0.000820751861715,-5.91853771753e-05,0.995658793353,1.03464747765,"(55, 61)",1.02741788759,2.74178875874,1.10823468184,5.10823468184,1.28308775875,5.28308775875,1.28308775875,5.10823468184,True
250.0,1.02254773892,0.102831386698,182.0,0.0478977565262,0.00040582247535,-1.82104592429e-05,0.997429946592,1.03701112199,"(98, 84)",1.03283087759,3.28308775875,0.741788758737,4.74178875874,0.173077250699,4.1730772507,0.741788758737,4.1730772507,True
260.0,1.00599214553,0.157386269781,597.0,0.0235765622842,9.34286305283e-05,-2.07419618905e-06,0.998471605245,1.02488121854,"(226, 371)",1.02173077251,2.1730772507,1.28308775875,5.28308775875,-0.310131593608,3.68986840639,1.28308775875,3.68986840639,True
270.0,1.00775971438,0.0913896968475,1141.0,0.0103641930243,3.22067201866e-05,-3.1351849022e-07,0.999336980501,1.01956508777,"(511, 630)",1.01689868406,1.68986840639,0.173077250699,4.1730772507,-0.505609424913,3.49439057509,0.173077250699,3.49439057509,True
280.0,0.999398183989,0.155457217614,681.0,0.018802581127,8.74505192868e-05,-1.55648122026e-06,0.99823443701,1.02180317484,"(403, 278)",1.01494390575,1.49439057509,-0.310131593608,3.68986840639,-0.845814489819,3.15418551018,-0.310131593608,3.15418551018,True
290.0,0.981982029644,0.295598254576,601.0,0.0275774610349,0.000137859730299,-3.63977162236e-06,0.996471131533,1.02301329025,"(351, 250)",1.0115418551,1.15418551018,-0.505609424913,3.49439057509,-1.55960133433,2.44039866567,-0.505609424913,2.44039866567,True
300.0,0.978330642102,0.26073344555,509.0,0.0336258942795,0.000175820535727,-5.59557565085e-06,0.995858485947,1.0142585663,"(287, 222)",1.00440398666,0.440398665673,-0.845814489819,3.15418551018,-0.958086264968,3.04191373503,-0.845814489819,3.04191373503,True
310.0,0.982331983619,0.280871537317,440.0,0.0417687536321,0.000247945178751,-9.8721677015e-06,0.993917043037,1.02231593152,"(277, 163)",1.01041913735,1.04191373503,-1.55960133433,2.44039866567,-1.18170336818,2.81829663182,-1.18170336818,2.44039866567,True
320.0,0.979120037604,0.29062928714,159.0,0.059596461852,0.000568396382924,-3.11680062377e-05,0.995820080843,1.02342435736,"(99, 60)",1.00818296632,0.81829663182,-0.958086264968,3.04191373503,-1.62303451603,2.37696548397,-0.958086264968,2.37696548397,True
330.0,0.962940863649,0.408287911909,48.0,0.138125050474,0.00337421476117,-0.000443781307041,0.986714052254,1.0407254786,"(42, 6)",1.00376965484,0.376965483973,-1.18170336818,2.81829663182,-2.22374384502,1.77625615498,-1.18170336818,1.77625615498,True
340.0,0.942520171389,0.552423901607,25.0,0.202285205842,0.0060118012977,-0.00118342562058,0.98850453562,1.03201850344,"(22, 3)",0.99776256155,-0.223743845017,-1.62303451603,2.37696548397,-3.31020751035,0.689792489655,-1.62303451603,0.689792489655,True
350.0,0.977515241346,0.0938268355008,19.0,1.02907868155,0.0422174730253,-0.0433301909568,0.789958364572,0.994366610778,"(19, 0)",0.986897924897,-1.31020751035,-2.22374384502,1.77625615498,-2.77274290395,1.22725709605,-2.22374384502,1.22725709605,True
