TimeStamp,Dataset Name,TimeStamp,Hub Wind Speed,Hub Turbulence,REWS To Hub Ratio Full,REWS To Hub Ratio Just Wind Speed,REWS To Hub Ratio Just Wind Speed And Veer,REWS To Hub Ratio Just Wind Speed And Upflow,REWS To Hub Ratio Deviation,Input Hub Wind Speed,Wind Speed Bin,Turbulence Bin,Hub Power,Normalised WS,Rotor Equivalent Wind Speed,REWS Power,Simulated TI Corrected Power,Combined Power,Power Deviation Matrix Power,Base Power
2012-10-31 13:00:00,Dataset 2,2012-10-31 13:00:00,17.20765,0.074386,0.998629054918,0.998629054918,0.998629054918,0.998629054918,-0.00137094508158,17.20765,17.0,0.07,2000.0,2.00434999056,17.1840592569,2000.0,1999.79934202,1999.79548256,2000.0,2000.0
2012-10-31 13:10:00,Dataset 2,2012-10-31 13:10:00,16.067911,0.072194,0.996197285007,0.996197285007,0.996197285007,0.996197285007,-0.00380271499322,16.067911,16.0,0.07,2000.0,1.83138690827,16.0068093139,2000.0,1999.52166728,1999.50495122,2000.0,2000.0
2012-10-31 13:20:00,Dataset 2,2012-10-31 13:20:00,16.652996,0.067255,0.998192645298,0.998192645298,0.998192645298,0.998192645298,-0.00180735470242,16.652996,17.0,0.07,2000.0,1.92017750419,16.6228981294,2000.0,1999.64113615,1999.63277786,2000.0,2000.0
2012-10-31 13:30:00,Dataset 2,2012-10-31 13:30:00,15.29745,0.067985,0.99572482375,0.99572482375,0.99572482375,0.99572482375,-0.00427517625027,15.29745,15.0,0.07,2000.0,1.71446425374,15.2320507051,2000.0,1999.25404387,1999.24685193,2000.0,2000.0
2012-10-31 13:40:00,Dataset 2,2012-10-31 13:40:00,15.694652,0.04715,0.994586176895,0.994586176895,0.994586176895,0.994586176895,-0.00541382310546,15.694652,16.0,0.05,2000.0,1.77474233689,15.6096839304,2000.0,1999.0922831,1999.04294737,2000.0,2000.0
2012-10-31 13:50:00,Dataset 2,2012-10-31 13:50:00,15.378183,0.059175,1.00131210083,1.00131210083,1.00131210083,1.00131210083,0.00131210082665,15.378183,15.0,0.05,2000.0,1.72671603114,15.3983607266,2000.0,1999.08576941,1999.09309766,2000.0,2000.0
2012-10-31 14:00:00,Dataset 2,2012-10-31 14:00:00,14.816921,0.083013,0.998647741301,0.998647741301,0.998647741301,0.998647741301,-0.00135225869949,14.816921,15.0,0.09,2000.0,1.64154073619,14.7968846897,2000.0,1999.84753081,1999.86091171,2000.0,2000.0
2012-10-31 14:10:00,Dataset 2,2012-10-31 14:10:00,14.660921,0.057977,0.998208110632,0.998208110632,0.998208110632,0.998208110632,-0.00179188936816,14.660921,15.0,0.05,2000.0,1.61786668376,14.6346502515,2000.0,1999.03383752,1999.04897561,2000.0,2000.0
2012-10-31 14:20:00,Dataset 2,2012-10-31 14:20:00,15.469156,0.054948,0.996398398791,0.996398398791,0.996398398791,0.996398398791,-0.00360160120918,15.469156,15.0,0.05,2000.0,1.74052179762,15.413442269,2000.0,1999.05620903,1999.03089539,2000.0,2000.0
2012-10-31 14:30:00,Dataset 2,2012-10-31 14:30:00,15.499616,0.064518,0.996525374118,0.996525374118,0.996525374118,0.996525374118,-0.00347462588179,15.499616,15.0,0.07,2000.0,1.74514430812,15.4457606331,2000.0,1999.22450155,1999.20841239,2000.0,2000.0
2012-10-31 14:40:00,Dataset 2,2012-10-31 14:40:00,15.755134,0.058394,0.999353399705,0.999353399705,0.999353399705,0.999353399705,-0.00064660029505,15.755134,16.0,0.05,2000.0,1.78392088842,15.7449467257,2000.0,1999.23214395,1999.22754696,2000.0,2000.0
2012-10-31 14:50:00,Dataset 2,2012-10-31 14:50:00,15.370337,0.054651,0.998799716797,0.998799716797,0.998799716797,0.998799716797,-0.00120028320325,15.370337,15.0,0.05,2000.0,1.72552534771,15.3518882427,2000.0,1999.0074066,1998.99944832,2000.0,2000.0
2012-10-31 15:00:00,Dataset 2,2012-10-31 15:00:00,15.872109,0.054813,0.998826961443,0.998826961443,0.998826961443,0.998826961443,-0.00117303855696,15.872109,16.0,0.05,2000.0,1.80167263382,15.8534904042,2000.0,1999.25106947,1999.24194044,2000.0,2000.0
2012-10-31 15:10:00,Dataset 2,2012-10-31 15:10:00,16.073176,0.04915,0.998432034904,0.998432034904,0.998432034904,0.998432034904,-0.00156796509626,16.073176,16.0,0.05,2000.0,1.83218590754,16.047973821,2000.0,1999.31258104,1999.29973818,2000.0,2000.0
2012-10-31 15:20:00,Dataset 2,2012-10-31 15:20:00,15.634599,0.06588,1.00075992852,1.00075992852,1.00075992852,1.00075992852,0.000759928518181,15.634599,16.0,0.07,2000.0,1.765628889,15.6464801777,2000.0,1999.29192968,1999.29579644,2000.0,2000.0
2012-10-31 15:30:00,Dataset 2,2012-10-31 15:30:00,16.357575,0.069081,0.999143184657,0.999143184657,0.999143184657,0.999143184657,-0.000856815342943,16.357575,16.0,0.07,2000.0,1.87534537443,16.3435595788,2000.0,1999.56994386,1999.56576778,2000.0,2000.0
