TimeStamp	Name	Time Stamp	Hub Wind Speed	Hub Turbulence	Shear Exponent	Profile Rotor Wind Speed	Profile Hub Wind Speed	Hub to Rotor Ratio	Hub to Rotor Deviation	Input Hub Wind Speed	Wind Speed Bin	Turbulence Bin	Base Power	Hub Power	Rotor Equivalent Wind Speed	REWS Power	Turbulence Power	Combined Power
2012-03-26 22:00:00	Dataset 1	2012-03-26 22:00:00	16.31	0.099939	0.17281283529861943	15.791465022524596	15.781030198644533	1.000661225772254	0.000661225772254026	16.31	16.0	0.09	2000.0	2000.0	16.32078459234546	2000.0	1999.9991624391805	1999.9991633422203
2012-03-26 22:10:00	Dataset 1	2012-03-26 22:10:00	15.14	0.11823	0.1335951326733539	14.867398758650209	14.822466519552382	1.0030313604715217	0.003031360471521749	15.14	15.0	0.11	2000.0	2000.0	15.18589479753884	2000.0	1999.1380933352498	1999.2051445266197
2012-03-26 22:20:00	Dataset 1	2012-03-26 22:20:00	14.66	0.153479	0.1428818778657066	14.078340407998976	14.026963549110036	1.0036627213515643	0.003662721351564313	14.66	15.0	0.15000000000000002	2000.0	2000.0	14.713695495013933	2000.0	1985.7245350633648	1986.3257519763606
2012-03-26 22:30:00	Dataset 1	2012-03-26 22:30:00	13.54	0.12481500000000001	0.1498761029382081	13.381301258372744	13.479710186236282	0.9926994774736314	-0.007300522526368591	13.54	14.0	0.13	1999.54	1999.54	13.441150924992968	1999.44	1988.4945469308636	1987.3007042572958
2012-03-26 22:40:00	Dataset 1	2012-03-26 22:40:00	13.47	0.1366	0.15177706989310055	13.377531462367308	13.3111594583271	1.0049861925437822	0.004986192543782186	13.47	13.0	0.13	1999.47	1999.47	13.537164013564746	1999.54	1979.2339720753116	1980.4073586744692
2012-03-26 22:50:00	Dataset 1	2012-03-26 22:50:00	12.01	0.131557	0.21321641182385284	11.501843941623669	11.421384170456061	1.007044660258932	0.007044660258932023	12.01	12.0	0.13	1988.11	1988.11	12.094606369709773	1988.99	1943.078235904335	1945.7481621930453
2012-03-26 23:00:00	Dataset 1	2012-03-26 23:00:00	11.6	0.133621	0.25681236764324794	11.323950811982058	11.377991353390385	0.9952504321958178	-0.004749567804182231	11.6	12.0	0.13	1954.4	1954.4	11.544905013471485	1949.36	1898.2912524680517	1892.4119811419582
2012-03-26 23:10:00	Dataset 1	2012-03-26 23:10:00	11.62	0.152324	0.1696839853502802	11.331877357141204	11.374174275300865	0.9962813196689355	-0.0037186803310644834	11.62	12.0	0.15000000000000002	1956.08	1956.08	11.57678893455303	1952.72	1868.6493582851845	1864.4111303450595
2012-03-26 23:20:00	Dataset 1	2012-03-26 23:20:00	11.11	0.10621099999999999	0.16544824563199576	10.496538219314372	10.562723003535352	0.9937341172159085	-0.006265882784091459	11.11	11.0	0.11	1913.24	1913.24	11.040386042268743	1907.36	1901.9282416424549	1896.0179164071044
2012-03-26 23:30:00	Dataset 1	2012-03-26 23:30:00	11.2	0.13125	0.18707093195538485	11.052334180916285	11.08820928737492	0.9967645716698834	-0.0032354283301165854	11.2	11.0	0.13	1920.8	1920.8	11.163763202702693	1917.44	1864.652432406232	1861.1551861426576
2012-03-26 23:40:00	Dataset 1	2012-03-26 23:40:00	11.19	0.133155	0.15200707462736315	10.785083971608039	10.858203502872453	0.9932659641859659	-0.0067340358140340895	11.19	11.0	0.13	1919.96	1919.96	11.114646139240959	1913.24	1860.3923913629694	1853.4630346674232
2012-03-26 23:50:00	Dataset 1	2012-03-26 23:50:00	10.35	0.12173900000000001	0.135603368551095	10.497132015821464	10.612723402015835	0.9891082258704288	-0.010891774129571208	10.35	10.0	0.13	1730.45	1730.45	10.237270137758937	1701.08	1698.137416088232	1671.1910778666909
2012-03-27 00:00:00	Dataset 1	2012-03-27 00:00:00	10.59	0.09915	0.17931758810232284	10.097419904809241	10.141271484605289	0.995675928815966	-0.004324071184033995	10.59	11.0	0.09	1794.53	1794.53	10.54420808616108	1781.18	1795.9658509771039	1782.5884053689435
