time	Name	Time Stamp	Hub Wind Speed	Hub Turbulence	Hub Density	Actual Power	Density Corrected Hub Wind Speed	Input Hub Wind Speed	Wind Speed Bin	Turbulence Bin	Base Power	Hub Power	Turbulence Power
2006-07-10 12:55:00	Dataset 4	2006-07-10 12:55:00	8.600708898527525	0.11110493754341566	1.1768571285780594	519.6392786	8.486529656808377	8.486529656808377	8.0	0.11	519.6392786	621.27	625.1505215423973
2006-07-10 13:15:00	Dataset 4	2006-07-10 13:15:00	6.803389584770899	0.17211336002588057	1.1765747111395728	287.52505010000004	6.712533731646713	6.712533731646713	7.0	0.17	287.52505010000004	293.56	310.45797869156513
2006-07-10 13:25:00	Dataset 4	2006-07-10 13:25:00	8.196638797602509	0.1306350161865369	1.1766143424644335	531.7134269	8.08726760138992	8.08726760138992	8.0	0.13	531.7134269	532.07	542.0955104650482
2006-07-10 14:05:00	Dataset 4	2006-07-10 14:05:00	7.074127982242244	0.1525008983026705	1.1770044518754734	377.6553106	6.980506217174951	6.980506217174951	7.0	0.15000000000000002	377.6553106	330.28	343.0775352058459
2006-07-10 14:15:00	Dataset 4	2006-07-10 14:15:00	8.978192170772815	0.13124108234570958	1.177741530690268	766.1823647000001	8.861220235716146	8.861220235716146	9.0	0.13	766.1823647000001	703.78	716.2712701145593
2006-07-10 14:25:00	Dataset 4	2006-07-10 14:25:00	8.89137499375695	0.1332677672274533	1.17819165621072	787.5250501	8.776651994559987	8.776651994559987	9.0	0.13	787.5250501	685.94	699.1136054781949
2006-07-10 14:35:00	Dataset 4	2006-07-10 14:35:00	9.024430766176467	0.1423336159676936	1.1784700741348066	736.2224449	8.908692610257017	8.908692610257017	9.0	0.15000000000000002	736.2224449	714.93	732.836450779823
2006-07-10 14:45:00	Dataset 4	2006-07-10 14:45:00	8.910503768843467	0.14880687583975963	1.1787028015226806	785.2204409	8.796805720464736	8.796805720464736	9.0	0.15000000000000002	785.2204409	690.4	711.1247841914047
2006-07-10 14:55:00	Dataset 4	2006-07-10 14:55:00	7.759330234625398	0.1861133380502033	1.1785158407822691	559.8196393	7.659916126078054	7.659916126078054	8.0	0.19	559.8196393	451.14	481.4258063761046
2006-07-10 15:05:00	Dataset 4	2006-07-10 15:05:00	7.389873463561614	0.1899157107249836	1.178755089980194	425.95190379999997	7.295686539513574	7.295686539513574	7.0	0.19	425.95190379999997	386.7	414.95223628115116
2006-07-10 15:15:00	Dataset 4	2006-07-10 15:15:00	7.343846361461037	0.134034104820811	1.1783578481253907	403.6573146	7.249431532767483	7.249431532767483	7.0	0.13	403.6573146	377.75	386.3621357234216
2006-07-10 15:25:00	Dataset 4	2006-07-10 15:25:00	6.550640779789392	0.23471648571293408	1.1780869422865685	315.0300601	6.465928070697204	6.465928070697204	6.0	0.23	315.0300601	260.92	296.26717508205354
2006-07-10 15:35:00	Dataset 4	2006-07-10 15:35:00	6.505318933516656	0.15861285288932223	1.1778057382847682	326.15230460000004	6.420681381510272	6.420681381510272	6.0	0.15000000000000002	326.15230460000004	254.12	265.6368278242577
2006-07-10 15:55:00	Dataset 4	2006-07-10 15:55:00	7.207062125640894	0.22086614368659244	1.1778300372179202	335.5210421	7.113343450074878	7.113343450074878	7.0	0.23	335.5210421	352.69	391.8866226773705
2006-07-10 16:05:00	Dataset 4	2006-07-10 16:05:00	9.358011108341367	0.12209283444658223	1.1782942229713405	713.5771543	9.237535270418151	9.237535270418151	9.0	0.13	713.5771543	800.76	810.0353403440837
2006-07-10 16:45:00	Dataset 4	2006-07-10 16:45:00	6.55789625079358	0.18549696571561242	1.1790028575524125	279.05811620000003	6.474766801994056	6.474766801994056	6.0	0.19	279.05811620000003	260.92	280.03245227614116
2006-07-10 16:55:00	Dataset 4	2006-07-10 16:55:00	6.622341777132289	0.12026661909088146	1.1794174045908747	286.5230461	6.539161629503265	6.539161629503265	7.0	0.13	286.5230461	270.44	274.00241101393664
2006-07-10 17:05:00	Dataset 4	2006-07-10 17:05:00	6.6160428094956805	0.1499159475776738	1.1793228696722617	274.89979960000005	6.532767228652322	6.532767228652322	7.0	0.15000000000000002	274.89979960000005	269.08	279.0055538147173
2006-07-10 17:15:00	Dataset 4	2006-07-10 17:15:00	6.4183526714801555	0.13567169577161686	1.1792985401925582	258.06613230000005	6.337521818257743	6.337521818257743	6.0	0.13	258.06613230000005	243.24	249.33797327559827
2006-07-10 17:25:00	Dataset 4	2006-07-10 17:25:00	6.244850102469052	0.135262231781357	1.1790851872795556	255.36072140000002	6.165832414189873	6.165832414189873	6.0	0.13	255.36072140000002	220.12	225.64000762543512
2006-07-10 17:35:00	Dataset 4	2006-07-10 17:35:00	7.1562241336047006	0.19981302224525682	1.1784408317853539	399.09819639999995	7.064387260378345	7.064387260378345	7.0	0.19	399.09819639999995	343.74	373.4776065006732
2006-07-10 17:45:00	Dataset 4	2006-07-10 17:45:00	7.480036798421749	0.16486473198369797	1.1783875495488534	419.78957919999993	7.38393310028915	7.38393310028915	7.0	0.17	419.78957919999993	401.02	420.3174824454329
2006-07-10 17:55:00	Dataset 4	2006-07-10 17:55:00	6.42993160808273	0.1986760178590633	1.1783389211551858	243.7374749	6.3472323748661195	6.3472323748661195	6.0	0.19	243.7374749	244.6	266.43652278749676
2006-07-10 18:05:00	Dataset 4	2006-07-10 18:05:00	7.200800554774266	0.1871851925000656	1.1783753924504365	387.12424849999996	7.10826004600013	7.10826004600013	7.0	0.19	387.12424849999996	352.69	378.0233171048059
