TimeStamp	Name	Time Stamp	Hub Wind Speed	Hub Turbulence	Profile Rotor Wind Speed	Profile Hub Wind Speed	Hub to Rotor Ratio	Hub to Rotor Deviation	Input Hub Wind Speed	Wind Speed Bin	Turbulence Bin	Base Power	Hub Power	Rotor Equivalent Wind Speed	REWS Power	Turbulence Power	Combined Power
2013-02-17 20:10:00	Dataset 2	2013-02-17 20:10:00	7.116453	0.023888	7.136750268268776	7.189261092900581	0.9926959357918356	-0.007304064208164429	7.116453	7.0	0.03	624.12	624.12	7.064473970353616	606.06	605.2160363709238	587.1046135593484
2013-02-17 20:20:00	Dataset 2	2013-02-17 20:20:00	7.108331	0.022509	7.193246612616572	7.238039654401928	0.9938114401241067	-0.006188559875893285	7.108331	7.0	0.03	621.11	621.11	7.064340667988831	606.06	601.9521548115597	586.8499574694187
2013-02-17 20:30:00	Dataset 2	2013-02-17 20:30:00	7.418088000000001	0.026961000000000002	7.47358890349238	7.508045882768918	0.9954106594692479	-0.004589340530752106	7.418088000000001	7.0	0.03	714.42	714.42	7.384043868080915	702.38	697.6593914446345	684.4117157889926
2013-02-17 20:40:00	Dataset 2	2013-02-17 20:40:00	7.626164999999999	0.024914	7.603715436962537	7.659278463860342	0.9927456578109838	-0.007254342189016216	7.626164999999999	8.0	0.03	777.63	777.63	7.570842189500101	759.57	758.5042652866218	741.1110519765622
2013-02-17 20:50:00	Dataset 2	2013-02-17 20:50:00	7.760288	0.021906000000000002	7.777258121862274	7.83220980820411	0.9929838847927344	-0.0070161152072656385	7.760288	8.0	0.03	816.76	816.76	7.705840925350439	801.71	794.7851385606981	780.9965294997049
2013-02-17 21:00:00	Dataset 2	2013-02-17 21:00:00	7.846374000000001	0.021666	7.862942612462321	7.909286858372652	0.9941405278705663	-0.005859472129433718	7.846374000000001	8.0	0.03	843.85	843.85	7.800398390229888	828.8	819.9549453610616	805.902679736935
2013-02-17 21:10:00	Dataset 2	2013-02-17 21:10:00	7.784247	0.021838999999999997	7.849359358825537	7.875133666702701	0.9967271275678606	-0.003272872432139362	7.784247	8.0	0.03	822.78	822.78	7.7587701525887365	816.76	800.2649559358223	794.8681959529475
2013-02-17 21:20:00	Dataset 2	2013-02-17 21:20:00	7.819622	0.020461	7.9249459701917635	7.9267983698844935	0.999766311743242	-0.0002336882567579579	7.819622	8.0	0.03	834.82	834.82	7.8177946461663135	834.82	811.4138766829781	811.3575400680326
2013-02-17 21:30:00	Dataset 2	2013-02-17 21:30:00	7.9706529999999995	0.022583000000000002	8.084753292300261	8.1022172637214	0.9978445441719596	-0.0021554558280404423	7.9706529999999995	8.0	0.03	879.97	879.97	7.953472609537862	873.95	853.8106579975137	848.1062440720921
2013-02-17 21:40:00	Dataset 2	2013-02-17 21:40:00	8.094180999999999	0.023474000000000002	8.180522611961795	8.17514061873622	1.0006583364710864	0.0006583364710863737	8.094180999999999	8.0	0.03	922.03	922.03	8.099509694555874	925.7	894.7793698460833	898.4554033156384
